id,title,description,category,type,collection,is_new,subtype,manufacturer,catalog_id,finishes,position,sizes,thickness,material,shape,cut,diameter,length,width,height
2100,Tempo,"Tempo nu este doar numele unei colecții: este un concept.

Este urma pe care frumusețea o lasă asupra lucrurilor, memoria materială a unui stil care traversează epocile și se reînnoiește. În această colecție de corp alb, farmecul celor mai căutate marmură, Rosso Lepanto, Bianco Fantastico Arni și Nero Grand Antique, capătă o nouă formă în formatul 10×40 cm, între clasicism și contemporaneitate.

Trei finisaje caracterizează colecția, fiecare având o identitate distinctă:

Cu Tempo, ceramica nu reproduce doar estetica marmurei, ci îi restabilește sufletul, transformându-l în suprafețe capabile să spună povești de stil și material.",ceramice,niche tiles,Tempo,False,,Quintessenza Ceramiche,,MATT,,10x40 cm,"8mm, 12mm",34% materiale reciclate,,,,,,
2101,Terrae,"Esența autentică a pământului, puterea materiei. Terrae este o colecție de gresie porțelanată de 7×14 cm care spune povestea originii: pământul în numeroasele sale nuanțe, texturi și adâncimi. Suprafața ușor ondulată amintește de argila umedă, parcă modelată de acțiunea lentă și neîncetată a apei și a vântului, care modelează în timp forme naturale, moi și unice.

Inspirat de materialele naturale și procesele creative ale naturii, Terrae combină culorile neutre și materiale cu finisaje sofisticate și detalii decorative, pentru medii care exprimă autenticitate și caracter.

Paleta este o călătorie senzorială prin nuanțe calde și minerale:

Cu Terrae, ceramica devine un material autentic, capabil să îmbine tradiția și inovația.",ceramice,niche tiles,Terrae,False,,Quintessenza Ceramiche,,Matt,,7x14 cm,8mm,47% materiale reciclate,,,,,,
2102,Amarcord,"Profunzimea culorii, farmecul memoriei

Amarcord își ia numele de la capodopera cu același nume a lui Federico Fellini, filmată în anii 1970, dar plasată în anii 1930, în Rimini-ul copilăriei sale. Titlul – care în dialectul Romagna înseamnă „Îmi amintesc” – amintește de un univers format din povești intime, culori intense și atmosfere pline de nostalgie.

Această colecție de gresie porțelanată de 5x15 cm este inspirată tocmai din acea lume: tonuri calde, saturate și profunde - precum mierea, chihlimbarul, tutunul, mahonul, ceaiul și lemnul, care amintesc de estetica și spiritul acelor ani, cu bogăția lor culturală și farmecul atemporal.

Datorită utilizării fiecărei culori, aceasta prinde viață cu nuanțe unice și materiale, la fel ca emoțiile și amintirile pe care le spune filmul lui Fellini, multifațetate și vii.

Amarcord nu este doar o colecție de suprafețe: este o călătorie senzorială, o invitație de a retrăi magia trecutului prin materie și culoare, aducând forța evocatoare a unui trecut care încă vorbește în prezent.",ceramice,niche tiles,Amarcord,False,,Quintessenza Ceramiche,,Lucido,,5x15,8mm,47% materiale reciclate,,,,,,
2103,Colors,"Fiecare placă devine o invitație de a explora și de a juca cu combinații de culori, care pot varia de la contraste îndrăznețe până la tranziții delicate „ton sur ton”.

Culori s-a născut din ideea de a da formă culorii. Mișcarea benzilor amintește de curgerea vopselei care, ca un râu, inundă suprafața, traversând învelișul și creând un joc dinamic de nuanțe.

Colours este o colecție ceramică cu corp alb în care culoarea este interpretată ca o nuanță a aceluiași ton, de la deschis la închis, distribuită pe 4 benzi de culoare solidă cu dimensiunile 4×33,4cm.

Colors este alcătuit din 26 de articole: 24 împărțite în 6 familii de culori, concepute pentru instalare degradată sau pentru a fi amestecate împreună, plus 2 culori irizate care fac gama și mai completă.",ceramice,niche tiles,Colors,False,,Quintessenza Ceramiche,,Lucido,,4x33.4 cm,8mm,61% materiale reciclate,,,,,,
2104,Fluid,"Fluid s-a născut din ideea de a da viață culorii prin reprezentarea grafică a turnării. Fluid este o explozie creativă capabilă să se extindă, creând un efect contemporan cu mare impact vizual.

Culorile se amestecă și prind viață, formând pe ceramică „fluxuri de pigment” în continuă schimbare care sparg limitele obiceiului pentru a deveni potențial pur.

Fluid este o colecție de gresie porțelanată, disponibilă în formatul 18,6×18,6cm, și este alcătuită din 8 culori uni atent selectate, care alcătuiesc o paletă de culori la modă și, prind viață, formează 7 decorațiuni cu un efect deosebit de decorativ.

Acest amestec potrivit de originalitate și eleganță permite colecției Fluid să fie inserată atât în ​​contexte comerciale, cât și rezidențiale.",ceramice,niche tiles,Fluid,False,,Quintessenza Ceramiche,,Matt,,18.6x18.6 cm,8mm,47% materiale reciclate,,,,,,
2105,Marea,"Marea este o colecție de ceramică cu corp alb smălțuit, în formatul 7,5×30 cm și disponibilă în 3 structuri: baza netedă și structura convexă în finisaj mat și structura concavă în finisaj lucios. Tridimensionalitatea sculpturală și riguroasă vă permite să creați acoperiri elegante și sofisticate chiar și prin alternarea diferitelor structuri, pentru medii cu un farmec contemporan. Colecția a fost extinsă cu patru nuanțe noi: gri deschis, hârtie de zahăr, pământ, smarald plus auriu care încurajează combinații cu un gust rafinat, care nu sunt evidente. Particularitatea culorii aurii este efectul de trosnet care confera ceramicii un aspect retro si pretios in acelasi timp.

De-a lungul graniței incerte care separă cerul de apă, estompată de dansul valurilor, se naște Marea. O colecție cu o tridimensionalitate sculpturală și riguroasă, minimalistă și vibrantă de energie, inspirată din mișcările ciclice ale mării influențate de lună.",ceramice,niche tiles,Marea,False,,Quintessenza Ceramiche,,Matt/Lucido,,7.5x30 cm,"8mm, 13mm",61% materiale reciclate,,,,,,
2106,Färgblock 15×15,"Färgblock este colecția de gresie dezvoltată de designerul Tekla Evelina Severin, născută din dorința de a crea o serie plină de viață, versatilă și extrem de atrăgătoare. Färgblock este capabil să ofere libertate maximă de expresie datorită posibilității de a crea blocuri de culoare sau modele ton pe ton.

– Noul format 15×15 disponibil in toate culorile doar in varianta mata; – Culoarea neagră în toate formatele și în varianta lucioasă și mată; – Noul decor Cirkel, compus din Cirkel out și Cirkel in, o semilună obținută din tăierea cu jet de apă a 15×15.

Tekla a proiectat decorul Cirkel inspirându-se din soarele care dispare la apus, iar fiind o expertă în culori și-a imaginat-o în toate culorile paletei Färgblock. Cirkel ofera combinatii infinite: forma semicercului sau semilunare, in functie de modul in care este pozitionat, creeaza intotdeauna modele diferite. Un alt element care caracterizeaza instalatia este stucatura, in ton sau contrast, care confera o personalitate mai mare proiectului.",ceramice,niche tiles,Färgblock 15×15,False,,Quintessenza Ceramiche,,Matt,,"15x15 cm, 6.5x13.5 cm",8mm,47% materiale reciclate,,,,,,
2107,Färgblock 5×15,"Färgblock este disponibil în gresie porțelanată în formatul nominal de 5x15cm. Valoarea adăugată a colecției este tocmai formatul, ales deoarece dimensiunea celor două fețe vă permite să creați modele modulare. Realizat în finisajul lucios apoi îmbogățit cu noul finisaj mat, Färgblock este capabil să combine performanța tehnică a gresie cu un impact estetic puternic și contemporan. O colecție versatilă care poate fi inserată atât în ​​contexte rezidențiale, cât și comerciale, pentru aplicații de interior și exterior.

Färgblock – în limba engleză color block – este colecția de ceramică dezvoltată în colaborare cu designerul de interior și colorista Tekla Evelina Severin @teklan.

Integrarea finisajului mat vă permite să obțineți continuitatea suprafeței între podea și acoperire. Gama cromatică largă, formată din 13 culori lucioase și mate, vă permite să creați contraste puternice sau combinații delicate ton pe ton, oferind o mai mare mișcare pe perete.

Alternarea celor două finisaje diferite lucioase/mate și utilizarea materialelor de umplutură colorate devin multiplicatori de posibilități, adevărate instrumente la îndemâna designerilor și planificatorilor.",ceramice,niche tiles,Färgblock 5×15,False,,Quintessenza Ceramiche,,Matt/Lucido,,5x15 cm,8mm,47% materiale reciclate,,,,,,
2108,Pigmento10,"Paleta este formată din 11 nuanțe care se mișcă între culori mai neutre și versatile precum bej, noroi, alb, gri și negru și combinații mai vii precum ocru, pământ, verde, albastru deschis, albastru și mov.

Pigmento10 este noua colecție de gresie porțelanată care se inspiră din colecția Pigmento 6x37cm dar repropusă în formatul 10x10cm. O serie dedicată culorii care devine instrument de design și protagonist.

Particularitatea stilistică a acestei colecții este variația nuanței: progresia delicată a nuanței pe suprafața mată și bogăția nuanțelor generează efecte cromatice sofisticate. Pigmento10, datorită formatului său mic, vă permite să acoperiți cu ușurință și stil elemente de mobilier, acoperiri și pardoseli: rezultatul este un mediu coordonat și elegant.",ceramice,niche tiles,Pigmento10,False,,Quintessenza Ceramiche,,Matt,,10x10 cm,8mm,43% materiale reciclate,,,,,,
2109,Confetti,"Se caracterizează printr-o senzație mată și prăfuită, în care ies în evidență fulgii colorați. Disponibil în 8 culori, 5 cu fond deschis și 3 cu fundal închis, nuanțele inserțiilor variază de la nuanțele calde de bej și pământ până la tonurile neutre de gri, la care se adaugă declinații sofisticate în tonuri de albastru, petrol și albastru deschis și un multicolor colorat, pentru o colecție care face mișcarea estetică și cromatica combinată cu gama sa - perfect combinabilă Quintessere.

Colecția Confetti reinterpretează podelele terrazzo și venețiane într-o cheie contemporană, cu gresie porțelanată nerectificată de 18,6×18,6 cm.",ceramice,niche tiles,Confetti,False,,Quintessenza Ceramiche,,Matt,,18.6x18.6 cm,8mm,47% materiale reciclate,,,,,,
2110,Pigmento,"Combinațiile infinite de culori ale Pigmento reprezintă o provocare pentru creativitate, în timp ce umbrirea sa puternică face din fiecare fundal monocrom un mozaic de nuanțe. Colecția este îmbogățită de decorul Lustro, care întinde un voal strălucitor peste culoare, pentru inserții împrăștiate de modele deschise sau ton pe ton.

Progresia delicată a suprafeței mate și bogăția nuanțelor cromatice generează peste 60 de tonuri diferite pentru fiecare dintre cele 11 culori din colecție.",ceramice,niche tiles,Pigmento,False,,Quintessenza Ceramiche,,Matt,,6x37 cm,8mm,43% materiale reciclate,,,,,,
2111,Oltre,"Paleta de culori se mișcă pe tonuri sofisticate și prăfuite, variind de la alb-negru neutru la nuanțele calde de teracotă până la tonurile liniștitoare și reflectorizante de verde și albastru.

Oltre s-a născut dintr-un concept profund și atent, interpretat într-o colecție de suprafețe din gresie porțelanată menite să creeze podele, perdele și pereți cu un farmec sofisticat și intelectual. O invitație de a depăși imaginația prin gândirea la medii „total look” în care este favorizată continuitatea între pardoseală și acoperire. Rezultatul este un model infinit compus din contraste cromatice.

Conceput pentru a asigura combinabilitate maximă, culorile Oltre își găsesc expresia maximă în Oltre9 și Oltre3, în care formele a 9 pătrate și respectiv a 3 linii ies din grilă, ca niște ferestre mici către lumi necunoscute.

Oltre este disponibil în dimensiunea 18,6×18,6, în 5 culori la modă și cu finisaj mat.

Extrem de versatil, poate fi folosit in medii rezidentiale si comerciale si este capabil sa interpreteze cel mai contemporan si cel mai minimal gust precum si pe cel mai rafinat si elegant.",ceramice,niche tiles,Oltre,False,,Quintessenza Ceramiche,,Matt,,18.6x18.6 cm,8mm,43% materiale reciclate,,,,,,
