id,title,description,category,type,collection,is_new,subtype,manufacturer,catalog_id,finishes,position,sizes,thickness,material,shape,cut,diameter,length,width,height
1,Homescape,"We find ourselves in a dreamlike setting, immersed in the French countryside, where - surrounded by nature’s gifts - time is marked by the slow passing of the seasons. The earthiness of clay and the vigour of plants and flowers fuse to provide new colour combinations for our new concrete-effect ceramic tiles. Subtle, welcoming textures are ideal for the creation of interiors in which you feel completely at home.",ceramice,CONCRETE,Homescape,False,,Fondovalle,,Natural,,"120x278 cm, 120x120 cm, 60x120 cm","6 mm, 8.5 mm",Ceramic,,,,,,
2,Pigmento,"Not only is earth the oldest building material in the world, it was also the first pigment used by man to add colour both to himself and to his surrounding environment. From this experience an exciting new use originated, which upheld the traditions of Italy and led to the creation of a selection of clay mixtures with highimpact colour and dynamic textures. With this collection, our aim was to enhance the ancestral origins of earth as a material. By combining the patterns and textures of earth with pure pigments, the material takes on a starring role, transformed into a new, intense, and ever-changing tiling option.",ceramice,CONCRETE,Pigmento,False,,Fondovalle,,"Natural, Grip Outdoor",,"120x278 cm, 120x120 cm, 60x120 cm, 80x80 cm",6 mm,Ceramic,,,,,,
3,Portland,"Slender tiles in large sizes and new colours bring a new feel to the collection without lessening the appeal of the hand-worked concrete finish. Enriched with high-performance engineering features and new decorative offerings. With its five essential, neutral shades, Portland enhances homes and businesses alike, bringing a contemporary mood and strong personality.",ceramice,CONCRETE,Portland,False,,Fondovalle,,"Natural, Grip Outdoor",,"160x320 cm, 120x278 cm, 120x120 cm, 80x80 cm, 60x120 cm, 40x80 cm, 60x60 cm, 30x60 cm","6 mm, 8.5 mm",Ceramic,,,,,,
4,Infinito 2.0,"From “total black”, through shades of grey and brown, to all the whites imaginable, the marble in the Infinito 2.0 collection offers different textures, run through with different sized veins that enhance their natural aesthetics and prestige.",ceramice,Marble,Infinito 2.0,False,,Fondovalle,,"Natural, Honed, Polished, Crystal Polished, All-Light Polished, Matt, Lux, 3D Texture Polished",,"120x278 cm, 160x320 cm, 60x120 cm",6 mm,Ceramic,,,,,,
5,Onyx,"Onyx slabs interpret the striking refinement of onyx, luminous and poetic stone through marble colours with a strong expressive power. This faithful reproduction of the most prized varieties of onyx stones a unique appeal to any setting. Designed in modular form for use on walls and furnishings, paired with the most disparate of materials and accessories, it allows users to reinvent their spaces, reflecting a renewed desire for beauty.",ceramice,Marble,Onyx,False,,Fondovalle,,Crystal Polished,,"120x278 cm, 60x120 cm",6 mm,Ceramic,,,,,,
6,Res Art,"Suspended between reality and imagination, these budding collections - imbued with manual excellence and craftsmanship, rich in technique and experience - gradually grow with the introduction of new textures, colours, and sizes. Res Art recreates all the original texture effects of trowel-applied, hand-worked resin and transfers them to large porcelain stoneware slabs. The intensity and warmth of a simple, yet artistically rich, material is captured to perfect effect in these new floor and wall solutions for high-impact, all-encompassing designs.",ceramice,RESIN,Res Art,False,,Fondovalle,,Natural,,"120x278 cm, 120x120 cm, 60x120 cm, 5x30 cm",6 mm,Porcelain,,,,,,
7,Jura Mood,"Jura Mood is a rigorous contemporary reinterpretation of an ancient sedimentary stone with uniform background in which it is possible to identify the different material inclusions that have accumulated over time as a result of marine deposits to create variegated and calibrated textures with soft and warm contours. An aesthetic designed to last and to adapt to different styles thanks to its consummate blend of visual balance and material depth, perfect for creating harmonious indoor and outdoor spaces.",ceramice,Stone,Jura Mood,False,,Fondovalle,,"3D Texture Real Matt, 3D Texture Satin, Grip Outdoor",,"120x278 cm, 120x120 cm, 60x120 cm","6 mm, 8.5 mm",Ceramic,,,,,,
8,Slaten Stone,"A highly expressive split stone effect porcelain stoneware criss-crossed with changeable patterns rich in mineral details, veining and enveloping colours, made unique by 3D Texture technology, on which the light brings out the glossiness of the matter and the smooth relief effects. Slight shading and tactile variations underline the aesthetic of a surface with centuries of history, now admirably reinterpreted to become a contemporary design material.",ceramice,Stone,Slaten Stone,False,,Fondovalle,,"3D Texture, Grip Outdoor",,"120x278 cm, 120x120 cm, 60x120 cm, 60x60 cm, 30x60 cm","6 mm, 8.5 mm",Porcelain,,,,,,
9,Royal Travertino,"Colours, textures, and veining evoke the Italian landscape and the warm tones of Tivoli, where nature and classical architecture come together, stirring up primordial feelings and creating an aesthetic steeped in history. Royal Travertino is the contemporary vision of a millenary stone, available in the latest generation porcelain stoneware, designed to lend architecture extraordinary beauty and textural intensity.",ceramice,Stone,Royal Travertino,False,,Fondovalle,,"Real Matt, 3D Texture Honed, 3D Texture Satin, Grip Outdoor",,"120x278 cm, 60x120 cm","6 mm, 8.5 mm",Porcelain,,,,,,
10,Background,"Time flows by leaving its traces through layers of materials that settle and amalgamate, stratifications of dust and natural elements shaped by atmospheric agents and a continuous flow of sea water, which smoothes and compacts surfaces. Background finds its inspiration in a limestone of calcareous origin with an almost monochrome texture. Placed in these settings dominated by strong, uncontaminated nature, it retains the primary elements that characterise it but evolves them to produce a porcelain stoneware with a minimalist aesthetic and extremely matt finish that is pleasant to the touch, covering rooms with rare beauty.",ceramice,Stone,Background,False,,Fondovalle,,"Real Matt, 3D Texture Real Matt, Grip Outdoor",,"120x278 cm, 120x120 cm, 100x100 cm, 80x80 cm, 60x120 cm","6 mm, 8.5 mm",Porcelain,,,,,,
11,Stone Lab,,ceramice,Stone,Stone Lab,False,,Fondovalle,,"Natural, 3D Texture, Grip Outdoor",,"160x320 cm, 120x278 cm, 100x100 cm",6 mm,Ceramic,,,,,,
12,Komi,"Natural warmth and texture. Contemporary minimalism and severity. An on-trend imitation wood creation available in 240 cm-long, 6 mm-thick ‘boards’. Designed to recreate the seamless beauty of the veining and knots found in real wood, this material, available with a nuanced finish in five natural tones, offers a sense of intense harmony and comfort. The collection is completed by the Lodge décor in the 120x278 cm size, which interprets the wood material through a scan of contrasting vertical lines, creating new covering solutions.",ceramice,WOOD,Komi,False,,Fondovalle,,"Natural, Grip Outdoor",,"40x240 cm, 24x240 cm, 24x120 cm, 40x120 cm",6 mm,Ceramic,,,,,,
13,Brit,"Small size (6x24.6 cm) ceramic tiles with a slightly uneven Shiny surface, that capture light’s every refraction on a colour palette in the hues of the Mediterranean Sea. Shapes and textures create a dynamic visual pattern, in which waves generate ever-changing scenarios, just as the light striking the walls constantly evokes new atmospheres. A homage to the Italian ceramic tradition that bestows a new, exquisite, vibrant tactile beauty on interiors, for combination with a variety of surfaces in elegant cross-over design schemes.",ceramice,BRICK,Brit,False,,Fondovalle,,Shiny,,,"9 mm / 0.35""",Ceramic,,,,,,
