id,title,description,category,type,collection,is_new,subtype,manufacturer,catalog_id,finishes,position,sizes,thickness,material,shape,cut,diameter,length,width,height
1700,RIO,"Marble-cement is obtained by mixing marble chipping selected according to their colour and their dimensions, and concrete fillers. When compared to marble-resin, it offers more solidity and a higher durability, a more unique tactile sensation and a much lower price thanks to the concrete fillers involved in the production, much cheaper than the special resins that are used to produce marble-resin materials.",terrazzo,GRANULATIE FINA,Marble-cement,False,,Terrazzo Italiano,,"Polished, Brushed, Honed",,,,Marble-cement,,,,,,
1701,PESCATORI,"Marble-cement is obtained by mixing marble chipping selected according to their colour and their dimensions, and concrete fillers. When compared to marble-resin, it offers more solidity and a higher durability, a more unique tactile sensation and a much lower price thanks to the concrete fillers involved in the production, much cheaper than the special resins that are used to produce marble-resin materials.",terrazzo,GRANULATIE FINA,Marble-cement,False,,Terrazzo Italiano,,"Polished, Brushed, Honed",,,,Marble-cement,,,,,,
1702,CALLE,"Marble-cement is obtained by mixing marble chipping selected according to their colour and their dimensions, and concrete fillers. When compared to marble-resin, it offers more solidity and a higher durability, a more unique tactile sensation and a much lower price thanks to the concrete fillers involved in the production, much cheaper than the special resins that are used to produce marble-resin materials.",terrazzo,GRANULATIE FINA,Marble-cement,False,,Terrazzo Italiano,,"Polished, Brushed, Honed",,,,Marble-cement,,,,,,
1703,PALAZZETTO,"Marble-cement is obtained by mixing marble chipping selected according to their colour and their dimensions, and concrete fillers. When compared to marble-resin, it offers more solidity and a higher durability, a more unique tactile sensation and a much lower price thanks to the concrete fillers involved in the production, much cheaper than the special resins that are used to produce marble-resin materials.",terrazzo,GRANULATIE FINA,Marble-cement,False,,Terrazzo Italiano,,"Polished, Brushed, Honed",,,,Marble-cement,,,,,,
1704,MUSEO,"Marble-cement is obtained by mixing marble chipping selected according to their colour and their dimensions, and concrete fillers. When compared to marble-resin, it offers more solidity and a higher durability, a more unique tactile sensation and a much lower price thanks to the concrete fillers involved in the production, much cheaper than the special resins that are used to produce marble-resin materials.",terrazzo,GRANULATIE FINA,Marble-cement,False,,Terrazzo Italiano,,"Polished, Brushed, Honed",,,,Marble-cement,,,,,,
1705,SALEPEPE,"Marble-cement is obtained by mixing marble chipping selected according to their colour and their dimensions, and concrete fillers. When compared to marble-resin, it offers more solidity and a higher durability, a more unique tactile sensation and a much lower price thanks to the concrete fillers involved in the production, much cheaper than the special resins that are used to produce marble-resin materials.",terrazzo,GRANULATIE FINA,Marble-cement,False,,Terrazzo Italiano,,"Polished, Brushed, Honed",,,,Marble-cement,,,,,,
1706,GRAND-HOTEL,"Marble-cement is obtained by mixing marble chipping selected according to their colour and their dimensions, and concrete fillers. When compared to marble-resin, it offers more solidity and a higher durability, a more unique tactile sensation and a much lower price thanks to the concrete fillers involved in the production, much cheaper than the special resins that are used to produce marble-resin materials.",terrazzo,GRANULATIE FINA,Marble-cement,False,,Terrazzo Italiano,,"Polished, Brushed, Honed",,,,Marble-cement,,,,,,
1707,CANALE,"Marble-cement is obtained by mixing marble chipping selected according to their colour and their dimensions, and concrete fillers. When compared to marble-resin, it offers more solidity and a higher durability, a more unique tactile sensation and a much lower price thanks to the concrete fillers involved in the production, much cheaper than the special resins that are used to produce marble-resin materials.",terrazzo,GRANULATIE FINA,Marble-cement,False,,Terrazzo Italiano,,"Polished, Brushed, Honed",,,,Marble-cement,,,,,,
1708,PORTICI,"Marble-cement is obtained by mixing marble chipping selected according to their colour and their dimensions, and concrete fillers. When compared to marble-resin, it offers more solidity and a higher durability, a more unique tactile sensation and a much lower price thanks to the concrete fillers involved in the production, much cheaper than the special resins that are used to produce marble-resin materials.",terrazzo,GRANULATIE FINA,Marble-cement,False,,Terrazzo Italiano,,"Polished, Brushed, Honed",,,,Marble-cement,,,,,,
1709,SAN MARCO,"Marble-cement is obtained by mixing marble chipping selected according to their colour and their dimensions, and concrete fillers. When compared to marble-resin, it offers more solidity and a higher durability, a more unique tactile sensation and a much lower price thanks to the concrete fillers involved in the production, much cheaper than the special resins that are used to produce marble-resin materials.",terrazzo,GRANULATIE FINA,Marble-cement,False,,Terrazzo Italiano,,"Polished, Brushed, Honedv",,,,Marble-cement,,,,,,
1710,APERITIVO,"Marble-cement is obtained by mixing marble chipping selected according to their colour and their dimensions, and concrete fillers. When compared to marble-resin, it offers more solidity and a higher durability, a more unique tactile sensation and a much lower price thanks to the concrete fillers involved in the production, much cheaper than the special resins that are used to produce marble-resin materials.",terrazzo,GRANULATIE FINA,Marble-cement,False,,Terrazzo Italiano,,"Polished, Brushed, Honed",,,,Marble-cement,,,,,,
1711,STRADALLA,"Marble-resin is a special marble agglomerate obtained by the careful mixing of first choice marble granules, hand-picked according to their colour and their dimensions, and special high performance resins. Compared to the marble-cement it shows a much higher resistance to acids and stains. From a more aesthetic point of view, marble-resin is defined by larger pebbles and stone fragments. During the process it can be cut into thinner slabs that will be lighter and easier to install, especially when large surfaces are involved.",terrazzo,GRANULATIE FINA,MARBLE-RESIN,False,,Terrazzo Italiano,,"Polished, Brushed, Honed",,,,Marble-resin,,,,,,
1712,RIALTO,"Marble-resin is a special marble agglomerate obtained by the careful mixing of first choice marble granules, hand-picked according to their colour and their dimensions, and special high performance resins. Compared to the marble-cement it shows a much higher resistance to acids and stains. From a more aesthetic point of view, marble-resin is defined by larger pebbles and stone fragments. During the process it can be cut into thinner slabs that will be lighter and easier to install, especially when large surfaces are involved.",terrazzo,GRANULATIE MEDIE,Marble-cement,False,,Terrazzo Italiano,,"Polished, Brushed, Honed",,,,Marble-cement,,,,,,
1713,BACARO,"Marble-cement is obtained by mixing marble chipping selected according to their colour and their dimensions, and concrete fillers. When compared to marble-resin, it offers more solidity and a higher durability, a more unique tactile sensation and a much lower price thanks to the concrete fillers involved in the production, much cheaper than the special resins that are used to produce marble-resin materials.",terrazzo,GRANULATIE MEDIE,Marble-cement,False,,Terrazzo Italiano,,"Polished, Brushed, Honed",,,,Marble-cement,,,,,,
1714,PUNTA,"Marble-cement is obtained by mixing marble chipping selected according to their colour and their dimensions, and concrete fillers. When compared to marble-resin, it offers more solidity and a higher durability, a more unique tactile sensation and a much lower price thanks to the concrete fillers involved in the production, much cheaper than the special resins that are used to produce marble-resin materials.",terrazzo,GRANULATIE MEDIE,Marble-cement,False,,Terrazzo Italiano,,"Polished, Brushed, Honed",,,,Marble-cement,,,,,,
1715,DOGANA,"Marble-cement is obtained by mixing marble chipping selected according to their colour and their dimensions, and concrete fillers. When compared to marble-resin, it offers more solidity and a higher durability, a more unique tactile sensation and a much lower price thanks to the concrete fillers involved in the production, much cheaper than the special resins that are used to produce marble-resin materials.",terrazzo,GRANULATIE MEDIE,Marble-cement,False,,Terrazzo Italiano,,"Polished, Brushed, Honed",,,,Marble-cement,,,,,,
1716,MASCHERA,"Marble-resin is a special marble agglomerate obtained by the careful mixing of first choice marble granules, hand-picked according to their colour and their dimensions, and special high performance resins. Compared to the marble-cement it shows a much higher resistance to acids and stains. From a more aesthetic point of view, marble-resin is defined by larger pebbles and stone fragments. During the process it can be cut into thinner slabs that will be lighter and easier to install, especially when large surfaces are involved.",terrazzo,GRANULATIE MEDIE,MARBLE-RESIN,False,,Terrazzo Italiano,,"Polished, Brushed, Honed",,,,Marble-resin,,,,,,
1717,FESTA,"Marble-resin is a special marble agglomerate obtained by the careful mixing of first choice marble granules, hand-picked according to their colour and their dimensions, and special high performance resins. Compared to the marble-cement it shows a much higher resistance to acids and stains. From a more aesthetic point of view, marble-resin is defined by larger pebbles and stone fragments. During the process it can be cut into thinner slabs that will be lighter and easier to install, especially when large surfaces are involved..",terrazzo,GRANULATIE MEDIE,MARBLE-RESIN,False,,Terrazzo Italiano,,"Polished, Brushed, Honed",,,,Marble-resin,,,,,,
