id,title,description,category,type,collection,is_new,subtype,manufacturer,catalog_id,finishes,position,sizes,thickness,material,shape,cut,diameter,length,width,height
1400,OSO,"The armchair within the OSO collection beckons to us with a captivating allure. Its inviting embrace tempts us to sink in and linger—just to remain, indefinitely. Rarely does such voluminous presence exude such an airy comfort. The expansive seat, adorned with premium straps and eco-friendly upholstery, ensnares us in its embrace, refusing to release its hold. Meanwhile, the generous backrest envelops us like the comforting embrace of a dear friend. Its seemingly weightless design provides both stability and liberation, granting us the perfece balance of support and freedom.",mobilier,INTERIOR,Peter Fehrentz,False,FOTOLII,More,,"Leather Lugano / 2204, Linara / 98 / truffle, Leather Lugano / 0509, Linara / 192 / chinchilla, Leather Lugano / 2594, Linara / 197 / gris, Leather Orta / 3654, Linara / 210 / feathergrey, Leather Orta / 2159, Rami / 6810, leather Orta / 2491, Clunis / 05, Leather Orta / 1431, Gent / 02",,,,,,,,,,
1401,SOVA I,"This is probably the most comfortable thing that can happen to oiled walnut. A lounge chair called SOVA – its name speaks volumes.

UPHOLSTERY: Cushions with an ecological upholstery (kapok). UPHOLSTERY: FRAME: Frame made of solid wood (walnut) and belting made from flax fibres. FRAME: OPTIONS: Different types of fabrics and leathers available for the cover. OPTIONS:",mobilier,INTERIOR,Bernhard Müller,False,FOTOLII,More,,"Leather Lugano / 2204, Linara / 98 / truffle, Leather Lugano / 0509, Linara / 192 / chinchilla, Leather Lugano / 2594, Linara / 197 / gris, Leather Orta / 3654, Linara / 210 / feathergrey, Leather Orta / 2159, Rami / 6810, leather Orta / 2491, Clunis / 05, Leather Orta / 1431, Gent / 02",,,,,,,,,,
1402,SOVA II,"The Chaise Longue is our third member of our SOVA collection and closes the gap between SOVA armchair and SOVA bed in the most comfortable way.

The typical, organic-curved and solid walnut frame ensures a maximum stylish nap. The inner values are also impressive. For example, the upholstery is made of natural, breathable kapok fibres.

UPHOLSTERY: Cushions with an ecological upholstery (kapok). UPHOLSTERY: FRAME: Frame made of solid wood (walnut) and belting made from flax fibres. FRAME: OPTIONS: Different types of fabrics and leathers available for the cover. OPTIONS:",mobilier,INTERIOR,Bernhard Müller,False,FOTOLII,More,,"Leather Lugano / 2204, Linara / 98 / truffle, Leather Lugano / 0509, Linara / 192 / chinchilla, Leather Lugano / 2594, Linara / 197 / gris, Leather Orta / 3654, Linara / 210 / feathergrey, Leather Orta / 2159, Rami / 6810, leather Orta / 2491, Clunis / 05, Leather Orta / 1431, Gent / 02",,,,,,,,,,
1403,ONDA,"ONDA dining sofa is neither a bench nor a sofa. Rather, it is a celebration of shared life at the table—of communicative comfort, a sense of lightness, and a deliberately reduced formal language. The continuous backrest is slightly recessed and does not align flush with the seat. This creates an intriguing geometry from every perspective, allowing the piece to be freely positioned within a space.",mobilier,INTERIOR,Bernhard Müller,False,BANCHETE,More,,"Leather Lugano / 2204, Linara / 98 / truffle, Leather Lugano / 0509, Linara / 192 / chinchilla, Leather Lugano / 2594, Linara / 197 / gris, Leather Orta / 3654, Linara / 210 / feathergrey, Leather Orta / 2159, Rami / 6810, leather Orta / 2491, Clunis / 05, Leather Orta / 1431, Gent / 02",,,,,,,,,,
1404,LAX,"Thinking, dreaming, floating. With a width of 75 cm, LAX becomes a daybed. Calm proportions, clear lines, and a light appearance define its character. For moments of rest, for reading, or for a short pause. Reduced to what matters.",mobilier,INTERIOR,Gil Coste,False,BANCHETE,More,,"steel / brushed - anthracite, Leather Lugano / 2204, Linara / 98 / truffle, steel / brushed - tobacco-brown, Leather Lugano / 0509, Linara / 192 / chinchilla, Leather Lugano / 2594, Linara / 197 / gris, Leather Orta / 3654, Linara / 210 / feathergrey, Leather Orta / 2159, Rami / 6810, leather Orta / 2491, Clunis / 05, Leather Orta / 1431, Gent / 02",,,,,,,,,,
1405,LUZ,"Our LUZ chair brings the charm of a 1960s hotel lounge into your living room. Its sweeping, rounded seat shell and backrest are made of wood, harvested naturally from sustainable forests. The luxurious upholstery has an ecofriendly mixture of new wool and a cold foam made from castor oil.",mobilier,INTERIOR,Bernhard Müller & Çağdaş Sarıkaya,False,SCAUNE,More,,"Natural walnut, Leather Lugano / 2204, Flash / 9843 / steel, Oak Black, Leather Lugano / 0509, Loop / 02 / graphite, Leather Lugano / 2594, Loop / 01 / carbon grey, Leather Orta / 3654, Loop / 36 / olive, Leather Orta / 2159, Jette / 17, leather Orta / 2491, Rami / 6972, Leather Orta / 1431, Rami / 3072",,,,,,,,,,
1406,YAN,"The name YAN means “side” in Turkish, and makes referen-ce to the fact that the combination of symmetry and asymmetry in the lines is particularly noticeable when viewed from the side. Together with the natural upholstery, the exciting design offers comfortable, stylish seating. A design that harmoniously complements the AVAR table, but also cuts a fine figure on its own.",mobilier,INTERIOR,Çağdaş Sarıkaya,False,SCAUNE,More,,"Leather Lugano / 2204, Flash / 9843 / steel, Leather Lugano / 0509, Loop / 02 / graphite, Leather Lugano / 2594, Loop / 01 / carbon grey, Leather Orta / 3654, Loop / 36 / olive, Leather Orta / 2159, Jette / 17, leather Orta / 2491, Rami / 6972, Leather Orta / 1431, Rami / 3072",,,,,,,,,,
1407,OSO,Few elements for a lot of comfort. The backrest and armrests of the OSO chair form a lavishly upholstered and particularly comfortable unit. The filigree tubular frame with its striking radii is reminiscent of Bauhaus designs from the 1930s.,mobilier,INTERIOR,Peter Fehrentz,False,SCAUNE,More,,"Leather Lugano / 2204, Flash / 9843 / steel, Leather Lugano / 0509, Loop / 02 / graphite, Leather Lugano / 2594, Loop / 01 / carbon grey, Leather Orta / 3654, Loop / 36 / olive, Leather Orta / 2159, Jette / 17, leather Orta / 2491, Rami / 6972, Leather Orta / 1431, Rami / 3072",,,,,,,,,,
1408,OSO,"OSO is a table like a bear. Strong, calm and yet surprisingly agile. The legs are sturdy, like a triangle with rounded corners and outwardly curved sides. The tabletop stretches out above it and, despite its strength, has a particularly delicate appearance, also rounded outwards.",mobilier,INTERIOR,Peter Fehrentz,False,MESE,More,,"Oak Light, Oak Sand, Oak Taupe, Oak Basalt, Oak Graphit, Smoked Oak",,,,,,,,,,
1409,CUT I,CUT is nothing less than the idea of architecture in the form of a table. The harmonious interweaving of generous surfaces executed with low material thicknesses combines stability with lightness resulting in an inspiring place for creativity or for shared indulgence. CUT is as much at home in the refectory of a Buddhist monastery as it is in an artist’s studio or in your living room.,mobilier,INTERIOR,Peter Fehrentz,False,MESE,More,,"Oak Light, Oak Sand, Oak Taupe, Oak Basalt, Oak Graphit, Smoked Oak",,,,,,,,,,
1410,EEVA,"In a world where everything seems to get more and more complicated, we need a table that can be made as simple as possible and as big as possible. That‘s the idea behind EEVA. From the outside it looks like an object. Inside, and therefore invisible, it is equipped with extension leaves. Sophisticated, robust, made of solid wood. Also available as a large conference table.",mobilier,INTERIOR,Bernhard Müller & Çağdaş Sarıkaya,False,MESE,More,,"Oak Light, Oak Sand, Oak Taupe, Oak Basalt, Oak Graphit, Smoked Oak",,,,,,,,,,
1411,NIL,"Traditional lightness, an organic shape and absolute sturdiness make this table NIL an expressive table. Even in expansive interior spaces, it serves as a solid anchor piece. The organically curved NIL is delicate, yet strong.

TABLETOP: Solid wood, top thickness: 3 cm TABLETOP: FRAME: Solid wood FRAME: OPTIONS: Available in different wood types. Surfaces oiled and waxed or matt varnished. OPTIONS:",mobilier,INTERIOR,Gil Coste,False,MESE,More,,"Oak Light, Oak Sand, Oak Taupe, Oak Basalt, Oak Graphit, Smoked Oak",,,,,,,,,,
1412,CUT II,"CUT is nothing less than the idea of architecture in the form of a table. The harmonious interweaving of generous surfaces executed with low material thicknesses combines stability with lightness resulting in an inspiring place for creativity or for shared indulgence. CUT is as much at home in the refectory of a Buddhist monastery as it is in an artist’s studio or in your living room.

Tabletop: Made from glued and laminated solid wood. Top thickness: 2,8 cm. Table edges run down to 0.8 cm. Tabletop: Frame: Solid wood Frame: Options: Available in different wood types. Surfaces oiled and waxed or matt varnished. Options:",mobilier,INTERIOR,Peter Fehrentz,False,MESE,More,,"Oak Light, Oak Sand, Oak Taupe, Oak Basalt, Oak Graphit, Smoked Oak",,,,,,,,,,
1413,CUT III,"Particularly striking as a side table: the basic principle of CUT – with its legs reminiscent of a sailing yacht’s rudder.

TABLETOP: Solid wood, top thickness: 2,8cm TABLETOP: FRAME: Solid wood FRAME: OPTIONS: Available in different wood types. Surfaces oiled and waxed or matt varnished. OPTIONS:",mobilier,INTERIOR,Peter Fehrentz,False,MĂSUȚE DE CAFEA,More,,"Oak Light, Oak Sand, Oak Taupe, Oak Basalt, Oak Graphit, Smoked Oak",,,,,,,,,,
1414,SOVA,"With our SOVA bed, we’re deliberately not showing off our best side, because every side should look good, and its elegance shows when standing free in a room. With its opulent, leather-covered cushion, you can lie in a haven of tranquility for hours, even when reading.",mobilier,INTERIOR,Bernhard Müller,False,PATURI,More,,"Oak Light, Leather Lugano / 2204, Flash / 9843 / steel, Oak Sand, Leather Lugano / 0509, Loop / 02 / graphite, Oak Taupe, Leather Lugano / 2594, Loop / 01 / carbon grey, Oak Basalt, Leather Orta / 3654, Loop / 36 / olive, Oak Graphit, Leather Orta / 2159, Jette / 17, Smoked Oak, leather Orta / 2491, Rami / 6972, Natural walnut, Leather Orta / 1431, Rami / 3072",,,,,,,,,,
1415,NOVA,"What does a bed that shouldn't look like a bed actually look like? NOVA is reduced in design, thereby achieving maximum comfort and flexibility. Between the aluminum frame and a continuous profile, the head sections can be inserted as required. This way, NOVA can become a sofa.",mobilier,INTERIOR,Bernhard Müller,False,PATURI,More,,"steel / anthracite, Leather Lugano / 2204, Flash / 9843 / steel, Aluminium anodised, Leather Lugano / 0509, Loop / 02 / graphite, Leather Lugano / 2594, Loop / 01 / carbon grey, Leather Orta / 3654, Loop / 36 / olive, Leather Orta / 2159, Jette / 17, leather Orta / 2491, Rami / 6972, Leather Orta / 1431, Rami / 3072",,,,,,,,,,
